transliterated,reference,distance,address
vairiiō,vairiiō,0,"[{'id': 'Y9.0WazGr', 'index': 2}]"
zaōtā,zaōtā,0,"[{'id': 'Y9.0WazGr', 'index': 3}, {'id': 'Y9.0WazGr', 'index': 4}]"
frāmē,rāma,2,"[{'id': 'Y9.0WazGr', 'index': 5}]"
mrītē,mrūtē,1,"[{'id': 'Y9.0WazGr', 'index': 6}]"
,ā,1,"[{'id': 'Y9.0WazGr', 'index': 7}]"
yaϑāahī,yaϑahīš,2,"[{'id': 'Y9.0WazGrM', 'index': 0}]"
vairiiō,vairiiō,0,"[{'id': 'Y9.0WazGrM', 'index': 1}]"
yō,yō,0,"[{'id': 'Y9.0WazGrM', 'index': 2}]"
zaōtā,zaōtā,0,"[{'id': 'Y9.0WazGrM', 'index': 3}]"
frām,frā,1,"[{'id': 'Y9.0WazGrM', 'index': 4}]"
ē,mē,1,"[{'id': 'Y9.0WazGrM', 'index': 5}]"
mrītē,mrūtē,1,"[{'id': 'Y9.0WazGrM', 'index': 6}]"
aϑā,aϑā,0,"[{'id': 'Y9.0WazGrM', 'index': 7}, {'id': 'Y9.0WazGrF', 'index': 0}]"
ratuš,ratuš,0,"[{'id': 'Y9.0WazGrF', 'index': 1}]"
ātərəm,ātrəm,1,"[{'id': 'Y9.0WazGrF', 'index': 2}, {'id': 'Y9.1b', 'index': 0}]"
pairiyaōždaϑəṇtəm,pairiyaōždaϑəṇtəm,0,"[{'id': 'Y9.1b', 'index': 1}, {'id': 'Y9.1b', 'index': 2}]"
gāϑā̊sca,gāϑā̊sca,0,"[{'id': 'Y9.1b', 'index': 3}]"
srāuuaiiaṇtəm,srāuuaiiaṇtəm,0,"[{'id': 'Y9.1b', 'index': 4}, {'id': 'Y9.1b', 'index': 5}]"
ādəm,ārəm,1,"[{'id': 'Y9.1b', 'index': 6}, {'id': 'Y9.1c', 'index': 0}]"
pərəsat̰,pərəsat̰,0,"[{'id': 'Y9.1c', 'index': 1}]"
zaraϑuštrō,zaraϑuštrō,0,"[{'id': 'Y9.1c', 'index': 2}, {'id': 'Y9.1c', 'index': 3}]"
kō,kō,0,"[{'id': 'Y9.1c', 'index': 4}]"
narə,narə,0,"[{'id': 'Y9.1c', 'index': 5}]"
ahe,ahe,0,"[{'id': 'Y9.1c', 'index': 6}]"
yim,yim,0,"[{'id': 'Y9.1c', 'index': 7}, {'id': 'Y9.1d', 'index': 0}]"
azəm,azəm,0,"[{'id': 'Y9.1d', 'index': 1}]"
vīspahe,vīspahe,0,"[{'id': 'Y9.1d', 'index': 2}]"
aŋhə̄uš,aŋhə̄uš,0,"[{'id': 'Y9.1d', 'index': 3}]"
astuuatō,astuuatō,0,"[{'id': 'Y9.1d', 'index': 4}]"
sraēštəm,sraēštəm,0,"[{'id': 'Y9.1d', 'index': 5}, {'id': 'Y9.1d', 'index': 6}]"
dādarəsa,dādarəsa,0,"[{'id': 'Y9.1d', 'index': 7}]"
xᵛahe,xᵛahe,0,"[{'id': 'Y9.1d', 'index': 8}]"
gaiiahe,gaiiehe,1,"[{'id': 'Y9.1d', 'index': 9}, {'id': 'Y9.1d', 'index': 10}]"
xᵛanauuatō,xᵛanuuatō,1,"[{'id': 'Y9.1d', 'index': 11}]"
aməṣ̌ahe,aməṣ̌ahe,0,"[{'id': 'Y9.1d', 'index': 12}]"
āat̰,āat̰,0,"[{'id': 'Y9.1d', 'index': 13}, {'id': 'Y9.2a', 'index': 0}, {'id': 'Y9.2a', 'index': 1}]"
mē,mē,0,"[{'id': 'Y9.2a', 'index': 2}]"
aēm,aēm,0,"[{'id': 'Y9.2a', 'index': 3}]"
paitiiaōxta,paitiiaōxta,0,"[{'id': 'Y9.2a', 'index': 4}]"
haōmō,haōmō,0,"[{'id': 'Y9.2a', 'index': 5}, {'id': 'Y9.2a', 'index': 6}]"
aṣ̌auua,aṣ̌auua,0,"[{'id': 'Y9.2a', 'index': 7}]"
dīraōšō,dūraōšō,1,"[{'id': 'Y9.2a', 'index': 8}]"
azəm,azəm,0,"[{'id': 'Y9.2a', 'index': 9}, {'id': 'Y9.2b', 'index': 0}]"
ah,ahū,1,"[{'id': 'Y9.2b', 'index': 1}]"
mi,mē,1,"[{'id': 'Y9.2b', 'index': 2}]"
zaraϑuštra,zaraϑuštra,0,"[{'id': 'Y9.2b', 'index': 3}]"
haōmō,haōmō,0,"[{'id': 'Y9.2b', 'index': 4}]"
aṣ̌auua,aṣ̌auua,0,"[{'id': 'Y9.2b', 'index': 5}, {'id': 'Y9.2b', 'index': 6}]"
dīraōšō,dūraōšō,1,"[{'id': 'Y9.2b', 'index': 7}]"
āmąm,dāmąm,1,"[{'id': 'Y9.2b', 'index': 8}, {'id': 'Y9.2c', 'index': 0}]"
yāsaŋha,yāsaŋᵛha,1,"[{'id': 'Y9.2c', 'index': 1}]"
spətama,spitama,1,"[{'id': 'Y9.2c', 'index': 2}]"
frāmąm,rāmąm,1,"[{'id': 'Y9.2c', 'index': 3}]"
hunauuaŋha,hunuuaŋᵛha,2,"[{'id': 'Y9.2c', 'index': 4}]"
xᵛarətə̄e,xᵛarətə̄e,0,"[{'id': 'Y9.2c', 'index': 5}, {'id': 'Y9.2c', 'index': 6}]"
aōui,auui,1,"[{'id': 'Y9.2c', 'index': 7}, {'id': 'Y9.2d', 'index': 0}]"
mąm,mąm,0,"[{'id': 'Y9.2d', 'index': 1}]"
staōmaine,staōmaine,0,"[{'id': 'Y9.2d', 'index': 2}]"
stīiδe,stūiδi,2,"[{'id': 'Y9.2d', 'index': 3}]"
yaϑa,yaϑa,0,"[{'id': 'Y9.2d', 'index': 4}]"
mā,mā,0,"[{'id': 'Y9.2d', 'index': 5}]"
aparacit̰,aparacit̰,0,"[{'id': 'Y9.2d', 'index': 6}]"
saōš́iiaṇtō,saōš́iiaṇtō,0,"[{'id': 'Y9.2d', 'index': 7}]"
stauuąn,stauuąn,0,"[{'id': 'Y9.2d', 'index': 8}]"
āat̰,āat̰,0,"[{'id': 'Y9.2d', 'index': 9}, {'id': 'Y9.3a', 'index': 0}]"
aōxta,aōxta,0,"[{'id': 'Y9.3a', 'index': 1}]"
zaraϑuštrō,zaraϑuštrō,0,"[{'id': 'Y9.3a', 'index': 2}]"
nəmō,nəmō,0,"[{'id': 'Y9.3a', 'index': 3}]"
haōmāi,haōmāi,0,"[{'id': 'Y9.3a', 'index': 4}]"
kasaϑβąm,kasəϑβąm,1,"[{'id': 'Y9.3a', 'index': 5}, {'id': 'Y9.3b', 'index': 0}]"
paōiriiō,paōiriiō,0,"[{'id': 'Y9.3b', 'index': 1}]"
haōma,haōma,0,"[{'id': 'Y9.3b', 'index': 2}]"
maš́iiō,maṣ̌iiō,1,"[{'id': 'Y9.3b', 'index': 3}, {'id': 'Y9.3b', 'index': 4}]"
astuuaiϑiiāi,astuuaiϑiiāi,0,"[{'id': 'Y9.3b', 'index': 5}]"
hunīta,hunūta,1,"[{'id': 'Y9.3b', 'index': 6}]"
gaēϑaiiāi,gaēϑaiiāi,0,"[{'id': 'Y9.3b', 'index': 7}, {'id': 'Y9.3b', 'index': 8}]"
kā,kā,0,"[{'id': 'Y9.3b', 'index': 9}]"
aɱāi,aɱāi,0,"[{'id': 'Y9.3b', 'index': 10}]"
aṣ̌əš,aṣ̌əm,1,"[{'id': 'Y9.3b', 'index': 11}]"
ərənāuue,ərənāuui,1,"[{'id': 'Y9.3b', 'index': 12}, {'id': 'Y9.3b', 'index': 13}]"
cit̰,cit̰,0,"[{'id': 'Y9.3b', 'index': 14}]"
aɱāi,aɱāi,0,"[{'id': 'Y9.3b', 'index': 15}]"
jasat̰,jasat̰,0,"[{'id': 'Y9.3b', 'index': 16}]"
āiiaptəm,āiiaptəm,0,"[{'id': 'Y9.3b', 'index': 17}, {'id': 'Y9.3b', 'index': 18}]"
āat̰,āat̰,0,"[{'id': 'Y9.3b', 'index': 19}, {'id': 'Y9.4a', 'index': 0}]"
mē,mē,0,"[{'id': 'Y9.4a', 'index': 1}]"
aēm,aēm,0,"[{'id': 'Y9.4a', 'index': 2}]"
paitiiaōxta,paitiiaōxta,0,"[{'id': 'Y9.4a', 'index': 3}]"
haōmō,haōmō,0,"[{'id': 'Y9.4a', 'index': 4}]"
aṣ̌auua,aṣ̌auua,0,"[{'id': 'Y9.4a', 'index': 5}]"
dīraōšō,dūraōšō,1,"[{'id': 'Y9.4a', 'index': 6}]"
vīuuaŋhā̊,vīuuaŋᵛhā̊,1,"[{'id': 'Y9.4a', 'index': 7}, {'id': 'Y9.4b', 'index': 0}, {'id': 'Y9.4b', 'index': 1}]"
mąm,mąm,0,"[{'id': 'Y9.4b', 'index': 2}]"
paōiriiō,paōiriiō,0,"[{'id': 'Y9.4b', 'index': 3}]"
maš́iiō,maṣ̌iiō,1,"[{'id': 'Y9.4b', 'index': 4}]"
astuuaiϑiiāi,astuuaiϑiiāi,0,"[{'id': 'Y9.4b', 'index': 5}, {'id': 'Y9.4b', 'index': 6}]"
hunīta,hunūta,1,"[{'id': 'Y9.4b', 'index': 7}]"
gaēϑiiāi,gaēϑaiiāi,1,"[{'id': 'Y9.4b', 'index': 8}]"
hā,hā,0,"[{'id': 'Y9.4b', 'index': 9}, {'id': 'Y9.4b', 'index': 10}]"
ahāi,akāi,1,"[{'id': 'Y9.4b', 'index': 11}]"
ahmāi,ahurāi,2,"[{'id': 'Y9.4b', 'index': 12}]"
ahāi,akāi,1,"[{'id': 'Y9.4b', 'index': 13}]"
ahmāi,ahurāi,2,"[{'id': 'Y9.4b', 'index': 14}]"
aṣ̌əš,aṣ̌əm,1,"[{'id': 'Y9.4b', 'index': 15}]"
ərənāuue,ərənāuui,1,"[{'id': 'Y9.4b', 'index': 16}]"
tat̰ahmāi,,1000,"[{'id': 'Y9.4b', 'index': 17}]"
jasat̰,jasat̰,0,"[{'id': 'Y9.4b', 'index': 18}]"
āiiaptəm,āiiaptəm,0,"[{'id': 'Y9.4b', 'index': 19}]"
yat̰,yat̰,0,"[{'id': 'Y9.4b', 'index': 20}, {'id': 'Y9.4c', 'index': 0}]"
hē,hē,0,"[{'id': 'Y9.4c', 'index': 1}]"
puϑrō,puϑrō,0,"[{'id': 'Y9.4c', 'index': 2}]"
uszaiiata,uszaiiata,0,"[{'id': 'Y9.4c', 'index': 3}]"
yō,yō,0,"[{'id': 'Y9.4c', 'index': 4}]"
yimō,yimō,0,"[{'id': 'Y9.4c', 'index': 5}, {'id': 'Y9.4c', 'index': 6}]"
xšaētō,xšaētō,0,"[{'id': 'Y9.4c', 'index': 7}]"
huuąϑβō,huuąϑβō,0,"[{'id': 'Y9.4c', 'index': 8}]"
xᵛarənaŋhastəmō,xᵛarənaŋᵛhastəmō,1,"[{'id': 'Y9.4c', 'index': 9}, {'id': 'Y9.4d', 'index': 0}, {'id': 'Y9.4d', 'index': 1}]"
zātanąm,zātanąm,0,"[{'id': 'Y9.4d', 'index': 2}]"
huuarədarəsō,huuarədarəsō,0,"[{'id': 'Y9.4d', 'index': 3}]"
maš́iiānąm,maṣ̌iiānąm,1,"[{'id': 'Y9.4d', 'index': 4}]"
yat̰,yat̰,0,"[{'id': 'Y9.4d', 'index': 5}, {'id': 'Y9.4e', 'index': 0}]"
kərənaōit̰,kərənaōiti,1,"[{'id': 'Y9.4e', 'index': 1}]"
aŋ́h,aŋ́he,1,"[{'id': 'Y9.4e', 'index': 2}]"
ēxšaϑrāδa,xšaϑrāδa,1,"[{'id': 'Y9.4e', 'index': 3}, {'id': 'Y9.4e', 'index': 4}]"
amərəšaṇta,amaršaṇta,2,"[{'id': 'Y9.4e', 'index': 5}]"
pasā,parā,1,"[{'id': 'Y9.4e', 'index': 6}, {'id': 'Y9.4e', 'index': 7}]"
βīra,vīra,1,"[{'id': 'Y9.4e', 'index': 8}]"
aŋhaōšəmne,aŋhaōšəmne,0,"[{'id': 'Y9.4e', 'index': 9}]"
āpa,āpa,0,"[{'id': 'Y9.4e', 'index': 10}]"
uruuairi,uruuaire,1,"[{'id': 'Y9.4e', 'index': 11}]"
xᵛairiiąn,xᵛairiiąn,0,"[{'id': 'Y9.4e', 'index': 12}, {'id': 'Y9.4f', 'index': 0}]"
xᵛarəϑəm,xᵛarəϑəm,0,"[{'id': 'Y9.4f', 'index': 1}]"
ajiiamnəm,ajiiamnəm,0,"[{'id': 'Y9.4f', 'index': 2}, {'id': 'Y9.4f', 'index': 3}]"
yimahe,yimahe,0,"[{'id': 'Y9.4f', 'index': 4}, {'id': 'Y9.5a', 'index': 0}]"
xšaϑrəm,xšaϑrəm,0,"[{'id': 'Y9.5a', 'index': 1}]"
auruuahe,auruuahe,0,"[{'id': 'Y9.5a', 'index': 2}, {'id': 'Y9.5a', 'index': 3}]"
nōit̰,nōit̰,0,"[{'id': 'Y9.5a', 'index': 4}]"
aōxtəm,aōtəm,1,"[{'id': 'Y9.5a', 'index': 5}]"
ā̊ŋha,ā̊ŋha,0,"[{'id': 'Y9.5a', 'index': 6}]"
nōit̰,nōit̰,0,"[{'id': 'Y9.5a', 'index': 7}]"
garəməm,garəməm,0,"[{'id': 'Y9.5a', 'index': 8}]"
nōit̰,nōit̰,0,"[{'id': 'Y9.5a', 'index': 9}, {'id': 'Y9.5b', 'index': 0}]"
zauruuā̊ŋha,,1000,"[{'id': 'Y9.5b', 'index': 1}]"
nōit̰,nōit̰,0,"[{'id': 'Y9.5b', 'index': 2}]"
marəϑiiāiš,mərəϑiiāuš,2,"[{'id': 'Y9.5b', 'index': 3}]"
nōit̰,nōit̰,0,"[{'id': 'Y9.5b', 'index': 4}]"
araskō,araskō,0,"[{'id': 'Y9.5b', 'index': 5}]"
daēuuōdātō,daēuuōdātō,0,"[{'id': 'Y9.5b', 'index': 6}, {'id': 'Y9.5b', 'index': 7}]"
paṇcadasa,paṇcadasa,0,"[{'id': 'Y9.5b', 'index': 8}, {'id': 'Y9.5c', 'index': 0}]"
fracaraōite,fracarōiϑe,2,"[{'id': 'Y9.5c', 'index': 1}, {'id': 'Y9.5c', 'index': 2}]"
paiti,paiti,0,"[{'id': 'Y9.5c', 'index': 3}]"
puϑrasca,puϑrasca,0,"[{'id': 'Y9.5c', 'index': 4}]"
raōδaēšuua,raōδaēšuua,0,"[{'id': 'Y9.5c', 'index': 5}, {'id': 'Y9.5c', 'index': 6}]"
katarascit̰,katarascit̰,0,"[{'id': 'Y9.5c', 'index': 7}]"
yauuata,yauuata,0,"[{'id': 'Y9.5c', 'index': 8}, {'id': 'Y9.5d', 'index': 0}]"
xšaiiōit̰,xšaiiōit̰,0,"[{'id': 'Y9.5d', 'index': 1}, {'id': 'Y9.5d', 'index': 2}]"
huuąϑβō,huuąϑβō,0,"[{'id': 'Y9.5d', 'index': 3}]"
yəmō,yimō,1,"[{'id': 'Y9.5d', 'index': 4}]"
vīuuaŋhatō,vīuuaŋᵛhatō,1,"[{'id': 'Y9.5d', 'index': 5}]"
puϑrō,puϑrō,0,"[{'id': 'Y9.5d', 'index': 6}]"
kasiϑβąm,kasəϑβąm,1,"[{'id': 'Y9.5d', 'index': 7}, {'id': 'Y9.6a', 'index': 0}]"
bitiiō,bitiiō,0,"[{'id': 'Y9.6a', 'index': 1}]"
haōma,haōma,0,"[{'id': 'Y9.6a', 'index': 2}]"
maš́iiō,maṣ̌iiō,1,"[{'id': 'Y9.6a', 'index': 3}]"
astuuaiϑiiāi,astuuaiϑiiāi,0,"[{'id': 'Y9.6a', 'index': 4}]"
hunīta,hunūta,1,"[{'id': 'Y9.6a', 'index': 5}]"
gaēϑiiāi,gaēϑaiiāi,1,"[{'id': 'Y9.6a', 'index': 6}]"
kā,kā,0,"[{'id': 'Y9.6a', 'index': 7}]"
ahmāi,ahurāi,2,"[{'id': 'Y9.6a', 'index': 8}]"
aṣ̌əš,aṣ̌əm,1,"[{'id': 'Y9.6a', 'index': 9}]"
ərənāuue,ərənāuui,1,"[{'id': 'Y9.6a', 'index': 10}]"
cit̰,cit̰,0,"[{'id': 'Y9.6a', 'index': 11}]"
aɱāi,aɱāi,0,"[{'id': 'Y9.6a', 'index': 12}]"
jasat̰,jasat̰,0,"[{'id': 'Y9.6a', 'index': 13}]"
āiiaptəm,āiiaptəm,0,"[{'id': 'Y9.6a', 'index': 14}, {'id': 'Y9.6a', 'index': 15}]"
āat̰,āat̰,0,"[{'id': 'Y9.6a', 'index': 16}, {'id': 'Y9.7a', 'index': 0}]"
mē,mē,0,"[{'id': 'Y9.7a', 'index': 1}]"
aēm,aēm,0,"[{'id': 'Y9.7a', 'index': 2}]"
paitiiaōxta,paitiiaōxta,0,"[{'id': 'Y9.7a', 'index': 3}, {'id': 'Y9.7a', 'index': 4}]"
haōmō,haōmō,0,"[{'id': 'Y9.7a', 'index': 5}]"
aṣ̌auua,aṣ̌auua,0,"[{'id': 'Y9.7a', 'index': 6}]"
dīraōšō,dūraōšō,1,"[{'id': 'Y9.7a', 'index': 7}]"
āϑβiiō,āϑβiiō,0,"[{'id': 'Y9.7a', 'index': 8}, {'id': 'Y9.7b', 'index': 0}]"
mąm,mąm,0,"[{'id': 'Y9.7b', 'index': 1}]"
bitiiō,bitiiō,0,"[{'id': 'Y9.7b', 'index': 2}]"
maš́iiō,maṣ̌iiō,1,"[{'id': 'Y9.7b', 'index': 3}]"
astuuaiϑiiāi,astuuaiϑiiāi,0,"[{'id': 'Y9.7b', 'index': 4}, {'id': 'Y9.7b', 'index': 5}]"
hunīta,hunūta,1,"[{'id': 'Y9.7b', 'index': 6}]"
gaēϑiiāi,gaēϑaiiāi,1,"[{'id': 'Y9.7b', 'index': 7}]"
hā,hā,0,"[{'id': 'Y9.7b', 'index': 8}, {'id': 'Y9.7b', 'index': 9}]"
aɱāi,aɱāi,0,"[{'id': 'Y9.7b', 'index': 10}]"
aṣ̌əš,aṣ̌əm,1,"[{'id': 'Y9.7b', 'index': 11}]"
ərənāuue,ərənāuui,1,"[{'id': 'Y9.7b', 'index': 12}]"
tat̰,tat̰,0,"[{'id': 'Y9.7b', 'index': 13}]"
aɱāi,aɱāi,0,"[{'id': 'Y9.7b', 'index': 14}]"
jasat̰,jasat̰,0,"[{'id': 'Y9.7b', 'index': 15}]"
āiiaptəm,āiiaptəm,0,"[{'id': 'Y9.7b', 'index': 16}]"
yat̰,yat̰,0,"[{'id': 'Y9.7b', 'index': 17}, {'id': 'Y9.7c', 'index': 0}]"
hē,hē,0,"[{'id': 'Y9.7c', 'index': 1}, {'id': 'Y9.7c', 'index': 2}]"
puϑrō,puϑrō,0,"[{'id': 'Y9.7c', 'index': 3}]"
uszaiiata,uszaiiata,0,"[{'id': 'Y9.7c', 'index': 4}]"
vīsō,vīsō,0,"[{'id': 'Y9.7c', 'index': 5}]"
sīraiiā̊,sūraiiā̊,1,"[{'id': 'Y9.7c', 'index': 6}, {'id': 'Y9.7c', 'index': 7}]"
ϑraētōnō,ϑraētaōnō,1,"[{'id': 'Y9.7c', 'index': 8}]"
yō,yō,0,"[{'id': 'Y9.7c', 'index': 9}, {'id': 'Y9.8a', 'index': 0}]"
janat̰,janat̰,0,"[{'id': 'Y9.8a', 'index': 1}]"
ažīm,ažīm,0,"[{'id': 'Y9.8a', 'index': 2}, {'id': 'Y9.8a', 'index': 3}]"
dahākəm,dahākəm,0,"[{'id': 'Y9.8a', 'index': 4}]"
ϑrəzafanəm,ϑrizafanəm,1,"[{'id': 'Y9.8a', 'index': 5}]"
ϑrəkamrəδəm,ϑrikamərəδəm,2,"[{'id': 'Y9.8a', 'index': 6}, {'id': 'Y9.8a', 'index': 7}]"
xšauuašaṣ̌īm,xšuuašašīm,2,"[{'id': 'Y9.8a', 'index': 8}]"
hazaŋ,hazə̄,2,"[{'id': 'Y9.8a', 'index': 9}]"
rayōxštīm,,1000,"[{'id': 'Y9.8a', 'index': 10}]"
aṣ̌aōjaŋhəm,ašaōjaŋhəm,1,"[{'id': 'Y9.8a', 'index': 11}, {'id': 'Y9.8b', 'index': 0}]"
daēuuəm,daēuuīm,1,"[{'id': 'Y9.8b', 'index': 1}, {'id': 'Y9.8b', 'index': 2}]"
drujəm,drujim,1,"[{'id': 'Y9.8b', 'index': 3}]"
aγəm,aγəm,0,"[{'id': 'Y9.8b', 'index': 4}]"
gaēϑāuuaiiō,gaēϑāuuiiō,1,"[{'id': 'Y9.8b', 'index': 5}]"
druuaṇtəm,druuaṇtəm,0,"[{'id': 'Y9.8b', 'index': 6}]"
yąm,yąm,0,"[{'id': 'Y9.8b', 'index': 7}, {'id': 'Y9.8c', 'index': 0}]"
aṣ̌aōjastamąm,ašaōjastəmąm,2,"[{'id': 'Y9.8c', 'index': 1}]"
drujəm,drujim,1,"[{'id': 'Y9.8c', 'index': 2}]"
fraca,fraca,0,"[{'id': 'Y9.8c', 'index': 3}]"
kərəṇtat̰,kərəṇtat̰,0,"[{'id': 'Y9.8c', 'index': 4}]"
aŋrō,aŋhrō,1,"[{'id': 'Y9.8c', 'index': 5}]"
maińiiə̄uš,maińiiə̄uš,0,"[{'id': 'Y9.8c', 'index': 6}, {'id': 'Y9.8c', 'index': 7}]"
aōui,auui,1,"[{'id': 'Y9.8c', 'index': 8}]"
yąm,yąm,0,"[{'id': 'Y9.8c', 'index': 9}]"
astuuaitīm,astuuaitīm,0,"[{'id': 'Y9.8c', 'index': 10}]"
gaēϑąm,gaēϑąm,0,"[{'id': 'Y9.8c', 'index': 11}, {'id': 'Y9.8c', 'index': 12}]"
mahrkāi,mahrkāi,0,"[{'id': 'Y9.8c', 'index': 13}]"
aṣ̌ahe,aṣ̌ahe,0,"[{'id': 'Y9.8c', 'index': 14}]"
gaēϑanąm,gaēϑanąm,0,"[{'id': 'Y9.8c', 'index': 15}]"
kasiϑβąm,kasəϑβąm,1,"[{'id': 'Y9.8c', 'index': 16}, {'id': 'Y9.9a', 'index': 0}]"
ϑrətiiō,ϑritiiō,1,"[{'id': 'Y9.9a', 'index': 1}]"
haōma,haōma,0,"[{'id': 'Y9.9a', 'index': 2}]"
maš́iiō,maṣ̌iiō,1,"[{'id': 'Y9.9a', 'index': 3}, {'id': 'Y9.9a', 'index': 4}]"
astuuaiϑiiāi,astuuaiϑiiāi,0,"[{'id': 'Y9.9a', 'index': 5}]"
hunīta,hunūta,1,"[{'id': 'Y9.9a', 'index': 6}]"
gaēϑiiāi,gaēϑaiiāi,1,"[{'id': 'Y9.9a', 'index': 7}, {'id': 'Y9.9a', 'index': 8}]"
kā,kā,0,"[{'id': 'Y9.9a', 'index': 9}]"
aɱāi,aɱāi,0,"[{'id': 'Y9.9a', 'index': 10}]"
aṣ̌əš,aṣ̌əm,1,"[{'id': 'Y9.9a', 'index': 11}]"
ərənāuue,ərənāuui,1,"[{'id': 'Y9.9a', 'index': 12}]"
cit̰,cit̰,0,"[{'id': 'Y9.9a', 'index': 13}]"
ahmāi,ahurāi,2,"[{'id': 'Y9.9a', 'index': 14}]"
jasat̰,jasat̰,0,"[{'id': 'Y9.9a', 'index': 15}]"
āiiaptəm,āiiaptəm,0,"[{'id': 'Y9.9a', 'index': 16}]"
āat̰,āat̰,0,"[{'id': 'Y9.9a', 'index': 17}, {'id': 'Y9.10a', 'index': 0}]"
mē,mē,0,"[{'id': 'Y9.10a', 'index': 1}]"
aēm,aēm,0,"[{'id': 'Y9.10a', 'index': 2}]"
paitiiaōxta,paitiiaōxta,0,"[{'id': 'Y9.10a', 'index': 3}]"
haōmō,haōmō,0,"[{'id': 'Y9.10a', 'index': 4}, {'id': 'Y9.10a', 'index': 5}]"
aṣ̌auua,aṣ̌auua,0,"[{'id': 'Y9.10a', 'index': 6}]"
dīraōšō,dūraōšō,1,"[{'id': 'Y9.10a', 'index': 7}]"
ϑrətō,ϑritō,1,"[{'id': 'Y9.10a', 'index': 8}, {'id': 'Y9.10b', 'index': 0}]"
sāmanąm,sāmanąm,0,"[{'id': 'Y9.10b', 'index': 1}, {'id': 'Y9.10b', 'index': 2}]"
səuuištō,səuuištō,0,"[{'id': 'Y9.10b', 'index': 3}]"
ϑritiiō,ϑritiiō,0,"[{'id': 'Y9.10b', 'index': 4}]"
mąm,mąm,0,"[{'id': 'Y9.10b', 'index': 5}]"
maš́iiō,maṣ̌iiō,1,"[{'id': 'Y9.10b', 'index': 6}]"
astuuaitiiāi,astuuaiϑiiāi,1,"[{'id': 'Y9.10b', 'index': 7}]"
hunīta,hunūta,1,"[{'id': 'Y9.10b', 'index': 8}]"
gaēϑiiāi,gaēϑaiiāi,1,"[{'id': 'Y9.10b', 'index': 9}]"
hā,hā,0,"[{'id': 'Y9.10b', 'index': 10}]"
ahmāi,ahurāi,2,"[{'id': 'Y9.10b', 'index': 11}]"
aṣ̌əš,aṣ̌əm,1,"[{'id': 'Y9.10b', 'index': 12}]"
ərənāuue,ərənāuui,1,"[{'id': 'Y9.10b', 'index': 13}]"
tat̰,tat̰,0,"[{'id': 'Y9.10b', 'index': 14}]"
ahmāi,ahurāi,2,"[{'id': 'Y9.10b', 'index': 15}]"
jasat̰,jasat̰,0,"[{'id': 'Y9.10b', 'index': 16}]"
āiiaptəm,āiiaptəm,0,"[{'id': 'Y9.10b', 'index': 17}, {'id': 'Y9.10b', 'index': 18}]"
yat̰,yat̰,0,"[{'id': 'Y9.10b', 'index': 19}, {'id': 'Y9.10c', 'index': 0}]"
hē,hē,0,"[{'id': 'Y9.10c', 'index': 1}]"
puϑra,puϑra,0,"[{'id': 'Y9.10c', 'index': 2}]"
uszaiiaōiϑi,uszaiiōiϑe,2,"[{'id': 'Y9.10c', 'index': 3}, {'id': 'Y9.10c', 'index': 4}]"
uruuāxšaiiō,uruuāxšaiiō,0,"[{'id': 'Y9.10c', 'index': 5}]"
kərəsāspasca,kərəsāspasca,0,"[{'id': 'Y9.10c', 'index': 6}]"
t̰kaēšō,t̰kaēšō,0,"[{'id': 'Y9.10c', 'index': 7}, {'id': 'Y9.10d', 'index': 0}, {'id': 'Y9.10d', 'index': 1}]"
ańiiō,ańiiō,0,"[{'id': 'Y9.10d', 'index': 2}]"
dātōrāzō,dātōrāzō,0,"[{'id': 'Y9.10d', 'index': 3}]"
āat̰,āat̰,0,"[{'id': 'Y9.10d', 'index': 4}, {'id': 'Y9.10e', 'index': 0}]"
ańiiō,ańiiō,0,"[{'id': 'Y9.10e', 'index': 1}, {'id': 'Y9.10e', 'index': 2}]"
uparōkairiiō,uparōkairiiō,0,"[{'id': 'Y9.10e', 'index': 3}]"
yauuat̰,yauuat̰,0,"[{'id': 'Y9.10e', 'index': 4}]"
gaēsuš,gaēsuš,0,"[{'id': 'Y9.10e', 'index': 5}, {'id': 'Y9.10e', 'index': 6}]"
gaδauuarō,gaδauuarō,0,"[{'id': 'Y9.10e', 'index': 7}]"
yō,yō,0,"[{'id': 'Y9.10e', 'index': 8}, {'id': 'Y9.11a', 'index': 0}]"
janat̰,janat̰,0,"[{'id': 'Y9.11a', 'index': 1}]"
ažīm,ažīm,0,"[{'id': 'Y9.11a', 'index': 2}]"
sruuarəm,sruuarəm,0,"[{'id': 'Y9.11a', 'index': 3}]"
yim,yim,0,"[{'id': 'Y9.11a', 'index': 4}]"
aspōgarəm,aspōgarəm,0,"[{'id': 'Y9.11a', 'index': 5}]"
nairiga,pairica,2,"[{'id': 'Y9.11a', 'index': 6}]"
rəm,ārəm,1,"[{'id': 'Y9.11a', 'index': 7}]"
yim,yim,0,"[{'id': 'Y9.11a', 'index': 8}]"
vīšauuaṇtəm,vīšauuaṇtəm,0,"[{'id': 'Y9.11a', 'index': 9}]"
zairitəm,zairitəm,0,"[{'id': 'Y9.11a', 'index': 10}]"
yim,yim,0,"[{'id': 'Y9.11a', 'index': 11}, {'id': 'Y9.11b', 'index': 0}]"
upairi,upairi,0,"[{'id': 'Y9.11b', 'index': 1}]"
